#Z�hlrohrwinkel	Rate bei 35kV
#2*theta/�	R(35kV)/Imp/s

20.0	87.0
20.2	94.0
20.4	97.0
20.6	88.0
20.8	94.0
21.0	95.0
21.2	92.0
21.4	92.0
21.6	99.0
21.7	94.0
22.0	97.0
22.2	97.0
22.4	93.0
22.6	94.0
22.8	95.0
23.0	92.0
23.2	96.0
23.4	93.0
23.6	99.0
23.8	96.0
24.0	97.0
24.2	96.0
24.4	95.0
24.6	97.0
24.8	98.0
25.0	98.0
25.2	96.0
25.4	96.0
25.6	95.0
25.8	92.0
26.0	93.0
26.2	92.0
26.4	92.0
26.6	93.0
26.8	93.0
27.0	94.0
27.2	91.0
27.4	97.0
27.6	97.0
27.8	95.0
28.0	99.0
