#Z�hlrohrwinkel	Rate bei 35kV
#2*theta/�	R(35kV)/Imp/s

33.0	92.0
33.2	88.0
33.4	86.0
33.6	84.0
33.8	82.0
34.0	82.0
34.2	85.0
34.4	84.0
34.5	79.0
34.8	77.0
35.0	77.0
35.2	76.0
35.4	73.0
35.5	76.0
35.8	69.0
36.0	73.0
36.2	69.0
36.4	66.0
36.5	71.0
36.8	63.0
37.0	65.0
37.2	63.0
37.4	62.0
37.5	61.0
37.8	58.0
38.0	60.0
38.2	59.0
38.4	57.0
38.6	58.0
38.8	57.0
39.0	58.0
39.2	71.0
39.4	86.0
39.5	97.0
39.8	113.0
40.0	118.0
40.2	114.0
40.4	114.0
40.5	112.0
40.8	109.0
41.0	103.0
