# Angle, Current
-1.454638771367227149e-02 2.499989999999999759e-05
-1.400770444017394867e-02 1.999989999999999803e-05
-1.346901303651987930e-02 1.799990000000000024e-05
-1.293031381517691612e-02 3.299989999999999553e-05
-1.239160708863914009e-02 3.599990000000000069e-05
-1.185289316942676578e-02 2.999989999999999715e-05
-1.131417237008504502e-02 3.899989999999999907e-05
-1.077544500318319311e-02 3.499989999999999671e-05
-1.023671138131329247e-02 3.999989999999999628e-05
-9.697971817089204999e-03 7.899990000000000235e-05
-9.159226623145494753e-03 7.799990000000000514e-05
-8.620476112136321242e-03 5.899989999999999732e-05
-8.081720596734369086e-03 8.599989999999999631e-05
-7.542960389629750802e-03 7.999990000000001310e-05
-7.004195803528919136e-03 3.999990000000000305e-05
-6.465427151153577655e-03 9.999990000000001135e-05
-5.926654745239593944e-03 1.599999000000000061e-04
-5.387878898535908463e-03 9.999990000000001135e-05
-4.849099923803450347e-03 1.799999000000000043e-04
-4.310318133814042794e-03 3.399999000000000445e-04
-3.771533841349309756e-03 2.199999000000000008e-04
-3.232747359199600844e-03 3.599999000000000428e-04
-2.693959000162890211e-03 9.299999000000000200e-04
-2.155169077043686283e-03 7.799999000000000602e-04
-1.616377902651950369e-03 4.949998999999999632e-04
-1.077585789802001839e-03 2.399999899999999756e-03
-5.387930513114300157e-04 5.399999899999999818e-03
0.000000000000000000e+00 6.749999899999999456e-03
5.573721182625437356e-04 4.649999900000000019e-03
1.114743890214757883e-03 1.499999899999999780e-03
1.672114969547603813e-03 2.999999000000000480e-04
2.229485009954624598e-03 1.949998999999999895e-04
2.786853665133237710e-03 1.799999000000000043e-04
3.344220588786023154e-03 5.099989999999999938e-05
3.901585434622015843e-03 4.499990000000000261e-05
4.458947856357997098e-03 5.999990000000000130e-05
5.016307507719786583e-03 3.599990000000000069e-05
5.573664042443525132e-03 3.749990000000000327e-05
6.131017114276979263e-03 5.249990000000000196e-05
6.688366376980819233e-03 3.149989999999999973e-05
7.245711484329912279e-03 1.499990000000000016e-05
7.803052090114621052e-03 1.799990000000000024e-05
8.360387848142079512e-03 4.599989999999999982e-05
8.917718412237497436e-03 4.799990000000000100e-05
9.475043436245438044e-03 6.599989999999999806e-05
1.003236257403111904e-02 4.399989999999999864e-05
1.058967547948168331e-02 2.599989999999999818e-05
1.114698180650751554e-02 3.599990000000000069e-05
1.170428120904351034e-02 2.799989999999999936e-05
1.226157334105036287e-02 1.999989999999999803e-05
1.281885785651586639e-02 2.799989999999999936e-05
1.337613440945619771e-02 2.499989999999999759e-05
1.393340265391719048e-02 1.199990000000000008e-05
1.449066224397565182e-02 1.299989999999999898e-05
1.504791283374062351e-02 1.599989999999999906e-05
1.560515407735468124e-02 1.199990000000000008e-05
1.616238562899521836e-02 1.199990000000000008e-05
